intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
1320000,0.0009198798581155007,0.559322033898305,0.0009198798581155007,0.0009198798581155007,,,,abkvh.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,7e6643487db04ff4cc792c1f627887b4,0.559322033898305,1320000,0,1200000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605112.fastq.gz,,079ece8c,1434970000
1280000,0.0008920047108998794,0.30038022813688214,0.0005505341575085193,0.0005505341575085193,,,,GCA_0101521551.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,1349ec63357a191d4a1c495c8097e71e,0.4866920152091255,790000,1,410000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605112.fastq.gz,,079ece8c,1434970000
1160000,0.0008083792692530157,0.06204379562043796,0.00011846937566639024,0.00011846937566639024,,,,GCA_0101734751.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,dbe5e9b81ae5af68c42814bc09e239d8,0.4233576642335766,170000,2,240000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605112.fastq.gz,,079ece8c,1434970000
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605113.fastq.gz,NA,NA,NA
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605114.fastq.gz,NA,NA,NA
1870000,0.0012950228187175812,0.6925925925925925,0.0012950228187175812,0.0012950228187175812,,,,adttb.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,cdb87a4cf11787cd4b46472eb1ca5a5e,0.6925925925925925,1870000,0,1940000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605115.fastq.gz,,130424c4,1443990000
1370000,0.0009487600329642172,0.32340425531914896,0.0005263194343451132,0.0005263194343451132,,,,adpvo.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,56e45fe2bf1bf9f7c8552641b0703ed9,0.5829787234042553,760000,1,1180000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605115.fastq.gz,,130424c4,1443990000
1850000,0.0012811723072874465,0.13058419243986255,0.0002631597171725566,0.0002631597171725566,,,,GCA_0101365351.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,80e6e5dd6d70dd115d8cb1f9dfbbe80c,0.6357388316151202,380000,2,800000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605115.fastq.gz,,130424c4,1443990000
1850000,0.0012811723072874465,0.06666666666666667,0.0001315798585862783,0.0001315798585862783,,,,GCA_0101364151.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,35dfb972dfb04ab19cc1e02e82dbfb03,0.6491228070175439,190000,3,610000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605115.fastq.gz,,130424c4,1443990000
1020000,0.0007063760829368624,0.06274509803921569,0.00011080409144107646,0.00011080409144107646,,,,GCA_0101653751.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,cde1126453482992781d2eae317c2da1,0.4,160000,4,450000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605115.fastq.gz,,130424c4,1443990000
1340000,0.0009279842658190153,0.046413502109704644,7.617781286574006e-05,7.617781286574006e-05,,,,GCA_0101717751.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,09d9ddafec189580a2117e294312f62e,0.5654008438818565,110000,5,340000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605115.fastq.gz,,130424c4,1443990000
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605116.fastq.gz,NA,NA,NA
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605117.fastq.gz,NA,NA,NA
1360000,0.001260087650214493,0.576271186440678,0.001260087650214493,0.001260087650214493,,,,abkvh.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,7e6643487db04ff4cc792c1f627887b4,0.576271186440678,1360000,0,490000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605118.fastq.gz,,45a9ca4a,1079290000
760000,0.0007041666280610401,0.0992063492063492,0.0002316337592306053,0.0002316337592306053,,,,adtvh.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,1b7dcae57af509a37b4087f80fc6727a,0.30158730158730157,250000,1,240000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605118.fastq.gz,,45a9ca4a,1079290000
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605119.fastq.gz,NA,NA,NA
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605120.fastq.gz,NA,NA,NA
760000,0.0007749961760057105,0.30158730158730157,0.0007749961760057105,0.0007749961760057105,,,,adtvh.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,1b7dcae57af509a37b4087f80fc6727a,0.30158730158730157,760000,0,370000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605121.fastq.gz,,7ff7d6ac,980650000
680000,0.0006934176311630041,0.04912280701754386,0.00014276245347473614,0.00014276245347473614,,,,GCA_0101364151.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,35dfb972dfb04ab19cc1e02e82dbfb03,0.23859649122807017,140000,1,230000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605121.fastq.gz,,7ff7d6ac,980650000
1820000,0.0012371021900787122,0.7711864406779662,0.0012371021900787122,0.0012371021900787122,,,,abkvh.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,7e6643487db04ff4cc792c1f627887b4,0.7711864406779662,1820000,0,300000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605122.fastq.gz,,ce4f7649,1471180000
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605123.fastq.gz,NA,NA,NA
510000,0.0007040892398597344,0.1875,0.0007040892398597344,0.0007040892398597344,,,,adptv.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,45260da80b150ec1f03efaaec0773683,0.1875,510000,0,490000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605124.fastq.gz,,ad5d0cf7,724340000
330000,0.0004555871552033575,0.0635593220338983,0.0002070850705469807,0.0002070850705469807,,,,GCA_0101702351.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,0e13e85364c5b857f261db70d36740d3,0.13983050847457626,150000,1,340000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605124.fastq.gz,,ad5d0cf7,724340000
230000,0.0001755886035362018,0.07903780068728522,0.0001755886035362018,0.0001755886035362018,,,,GCA_0101365351.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,80e6e5dd6d70dd115d8cb1f9dfbbe80c,0.07903780068728522,230000,0,130000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605125.fastq.gz,,4c60e93b,1309880000
110000,0.0002103773404479125,0.04044117647058824,0.0002103773404479125,0.0002103773404479125,,,,adptv.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,45260da80b150ec1f03efaaec0773683,0.04044117647058824,110000,0,50000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605126.fastq.gz,,b5ca6b56,522870000
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605127.fastq.gz,NA,NA,NA
290000,0.0002264545802391048,0.10175438596491228,0.0002264545802391048,0.0002264545802391048,,,,GCA_0101364151.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,35dfb972dfb04ab19cc1e02e82dbfb03,0.10175438596491228,290000,0,150000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605128.fastq.gz,,7ece190e,1280610000
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605129.fastq.gz,NA,NA,NA
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605130.fastq.gz,NA,NA,NA
1040000,0.0009957965893966814,0.38235294117647056,0.0009957965893966814,0.0009957965893966814,,,,GCA_0101363151.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,a5a96dbe5753d88f20272dff898243dc,0.38235294117647056,1040000,0,490000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605131.fastq.gz,,18ed57b0,1044390000
1040000,0.0009957965893966814,0.06844106463878327,0.00017234940970327177,0.00017234940970327177,,,,GCA_0101521551.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,1349ec63357a191d4a1c495c8097e71e,0.39543726235741444,180000,1,310000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605131.fastq.gz,,18ed57b0,1044390000
380000,0.00036384875381801816,0.04526748971193416,0.00010532463926311053,0.00010532463926311053,,,,adqgg.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,5a655f6fcf5defb7ca2c86e2ab4c18e1,0.15637860082304528,110000,2,200000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605131.fastq.gz,,18ed57b0,1044390000
330000,0.0003948596453442458,0.1213235294117647,0.0003948596453442458,0.0003948596453442458,,,,adptv.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,45260da80b150ec1f03efaaec0773683,0.1213235294117647,330000,0,420000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605132.fastq.gz,,f3a0275a,835740000
290000,0.0003469978701510039,0.06172839506172839,0.00017948165697465718,0.00017948165697465718,,,,adqgg.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,5a655f6fcf5defb7ca2c86e2ab4c18e1,0.11934156378600823,150000,1,270000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605132.fastq.gz,,f3a0275a,835740000
1080000,0.0005582087700800099,0.41064638783269963,0.0005582087700800099,0.0005582087700800099,,,,GCA_0101521551.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,1349ec63357a191d4a1c495c8097e71e,0.41064638783269963,1080000,0,560000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605133.fastq.gz,,34a46d03,1934760000
520000,0.00026876718559407884,0.07203389830508475,8.786619529037193e-05,8.786619529037193e-05,,,,GCA_0101702351.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,0e13e85364c5b857f261db70d36740d3,0.22033898305084745,170000,1,390000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605133.fastq.gz,,34a46d03,1934760000
1070000,0.0005530401703570469,0.03508771929824561,5.168599722963055e-05,5.168599722963055e-05,,,,GCA_0101364151.fasta,data/metagenome_analyses/strain_tracking/sepidermidis_NIH_JOh_genomes_0.998/genomes_61_10000/genome.sig,35dfb972dfb04ab19cc1e02e82dbfb03,0.37543859649122807,100000,2,290000,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605133.fastq.gz,,34a46d03,1934760000
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605134.fastq.gz,NA,NA,NA
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605135.fastq.gz,NA,NA,NA
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605136.fastq.gz,NA,NA,NA
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605137.fastq.gz,NA,NA,NA
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605138.fastq.gz,NA,NA,NA
0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,data/metagenome_analyses/strain_tracking/sigs_61_10000/ERR4605139.fastq.gz,NA,NA,NA
